route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
J22209L07,222097AD,J22209L07TU03,栗島公民館行き,9,1,5932917498839040
J22209L07,222097AD,J22209L07TU04,栗島公民館行き,12,1,5932917498839040
J22209L05,222097AD,J22209L05TD06,島田駅行き,6,0,5167242941562880
J22209L03,222097WE,J22209L03TU01,川根温泉行き,1,1,5647308616105984
J22209L08,222097AD,J22209L08TD04,金谷駅行き,10,0,5378170932953088
J22209L04,222097AD,J22209L04TU05,上相賀行き,10,1,4811183710273536
J22209L02,222097AD,J22209L02TU07,伊久身（二俣）行き,7,1,5810021304631296
J22209L05,222097AD,J22209L05TD05,島田駅行き,5,0,5167242941562880
J22209L03,222097WD,J22209L03TD04,島田駅行き,4,0,5740423507083264
J22209L08,222097AD,J22209L08TD05,金谷駅行き,13,0,5378170932953088
J22209L09,222097AD,J22209L09TL01,菊川神谷城循環,2,0,5973676738478080
J22209L07,222097AD,J22209L07TU02,栗島公民館行き,6,1,5932917498839040
J22209L05,222097AD,J22209L05TU02,田代の郷温泉行き,2,1,4801054029905920
J22209L05,222097AD,J22209L05TD09,島田駅行き,9,0,5167242941562880
J22209L04,222097AD,J22209L04TD04,島田駅行き,7,0,5763418761986048
J22209L04,222097AD,J22209L04TU01,上相賀行き,2,1,4811183710273536
J22209L02,222097AD,J22209L02TD02,島田駅行き,2,0,4819316230848512
J22209L12,222097WD,J22209L12TD01,六合南循環,1,0,5743868070854656
J22209L03,222097WE,J22209L03TU08,川根温泉行き,8,1,5647308616105984
J22209L13,222097AD,J22209L13TD06,島田駅行き,6,0,6218558593826816
J22209L012,222097WSD,J22209L012TU02,川根温泉行き,2,1,
J22209L06,222097AD,J22209L06TR05,金谷循環,14,0,6295644666855424
J22209L03,222097WD,J22209L03TU04,川根温泉行き,4,1,5647308616105984
J22209L03,222097AD,J22209L03TU05,川根温泉行き,5,1,5647308616105984
J22209L08,222097AD,J22209L08TU03,横岡新田行き,9,1,6241757859676160
J22209L07,222097AD,J22209L07TU01,栗島公民館行き,3,1,5932917498839040
J22209L08,222097AD,J22209L08TU01,横岡新田行き,3,1,6241757859676160
J22209L04,222097AD,J22209L04TD02,島田駅行き,3,0,5763418761986048
J22209L02,222097AD,J22209L02TD09,島田駅行き,9,0,4819316230848512
J22209L02,222097AD,J22209L02TU12,伊久身（二俣）行き,12,1,5810021304631296
J22209L08,222097AD,J22209L08TU02,横岡新田行き,6,1,6241757859676160
J22209L04,222097AD,J22209L04TD01,島田駅行き,1,0,5763418761986048
J22209L04,222097AD,J22209L04TU07,上相賀行き,14,1,4811183710273536
J22209L02,222097WD,J22209L02TD03,島田駅行き,3,0,4819316230848512
J22209L05,222097AD,J22209L05TU06,田代の郷温泉行き,6,1,4801054029905920
J22209L05,222097AD,J22209L05TD08,島田駅行き,8,0,5167242941562880
J22209L04,222097AD,J22209L04TU04,上相賀行き,8,1,4811183710273536
J22209L011,222097WSD,J22209L011TD05,家山駅行き,5,0,6035427630776320
J22209L08,222097AD,J22209L08TD01,金谷駅行き,1,0,5378170932953088
J22209L13,222097AD,J22209L13TU07,本村行き,7,1,5111298845048832
J22209L13,222097AD,J22209L13TU08,本村行き,8,1,5111298845048832
J22209L02,222097WD,J22209L02TD10,島田駅行き,10,0,4819316230848512
J22209L011,222097WSD,J22209L011TU04,日掛行き,4,1,4888269783302144
J22209L12,222097WD,J22209L12TD06,六合南循環,6,0,5743868070854656
J22209L03,222097AD,J22209L03TD05,島田駅行き,5,0,5740423507083264
J22209L03,222097AD,J22209L03TD07,島田駅行き,7,0,5740423507083264
J22209L13,222097AD,J22209L13TD03,島田駅行き,3,0,6218558593826816
J22209L10,222097AD,J22209L10TD06,大津循環,6,0,5106333862854656
J22209L13,222097AD,J22209L13TU05,本村行き,5,1,5111298845048832
J22209L13,222097AD,J22209L13TU06,本村行き,6,1,5111298845048832
J22209L03,222097AD,J22209L03TU03,川根温泉行き,3,1,5647308616105984
J22209L13,222097AD,J22209L13TD01,島田駅行き,1,0,6218558593826816
J22209L02,222097AD,J22209L02TD08,島田駅行き,8,0,4819316230848512
J22209L09,222097AD,J22209L09TL05,菊川神谷城循環,14,0,5973676738478080
J22209L04,222097AD,J22209L04TD07,島田駅行き,13,0,5763418761986048
J22209L011,222097WSD,J22209L011TU02,日掛行き,2,1,4888269783302144
J22209L11,222097WD,J22209L11TS02,島田駅南口行き,4,1,5941120886374400
J22209L05,222097AD,J22209L05TU03,田代の郷温泉行き,3,1,4801054029905920
J22209L08,222097AD,J22209L08TU05,横岡新田行き,15,1,6241757859676160
J22209L02,222097AD,J22209L02TU11,伊久身（二俣）行き,11,1,5810021304631296
J22209L09,222097AD,J22209L09TL03,菊川神谷城循環,8,0,5973676738478080
J22209L07,222097AD,J22209L07TD03,金谷駅行き,7,0,6208428913459200
J22209L04,222097AD,J22209L04TD06,島田駅行き,11,0,5763418761986048
J22209L09,222097AD,J22209L09TL04,菊川神谷城循環,11,0,5973676738478080
J22209L07,222097AD,J22209L07TU05,栗島公民館行き,15,1,5932917498839040
J22209L04,222097AD,J22209L04TD08,島田駅行き,15,0,5763418761986048
J22209L10,222097AD,J22209L10TD01,大津循環,1,0,5106333862854656
J22209L02,222097WE,J22209L02TD06,島田駅行き,6,0,4819316230848512
J22209L07,222097AD,J22209L07TD02,金谷駅行き,4,0,6208428913459200
J22209L08,222097AD,J22209L08TU04,横岡新田行き,12,1,6241757859676160
J22209L10,222097AD,J22209L10TD03,大津循環,3,0,5106333862854656
J22209L10,222097AD,J22209L10TD05,大津循環,5,0,5106333862854656
J22209L02,222097AD,J22209L02TD01,島田駅行き,1,0,4819316230848512
J22209L06,222097AD,J22209L06TR01,金谷循環,2,0,6295644666855424
J22209L05,222097AD,J22209L05TD07,島田駅行き,7,0,5167242941562880
J22209L03,222097WD,J22209L03TU02,川根温泉行き,2,1,5647308616105984
J22209L04,222097AD,J22209L04TD05,島田駅行き,9,0,5763418761986048
J22209L04,222097AD,J22209L04TU03,上相賀行き,6,1,4811183710273536
J22209L04,222097AD,J22209L04TU08,上相賀行き,16,1,4811183710273536
J22209L10,222097AD,J22209L10TD04,大津循環,4,0,5106333862854656
J22209L13,222097AD,J22209L13TD04,島田駅行き,4,0,6218558593826816
J22209L04,222097AD,J22209L04TD03,島田駅行き,5,0,5763418761986048
J22209L012,222097WSD,J22209L012TD03,家山駅行き,3,0,
J22209L06,222097AD,J22209L06TR03,金谷循環,8,0,6295644666855424
J22209L05,222097AD,J22209L05TU07,田代の郷温泉行き,7,1,4801054029905920
J22209L03,222097WE,J22209L03TD03,島田駅行き,3,0,5740423507083264
J22209L03,222097WD,J22209L03TD06,島田駅行き,6,0,5740423507083264
J22209L13,222097AD,J22209L13TU03,本村行き,3,1,5111298845048832
J22209L10,222097AD,J22209L10TD09,大津循環,9,0,5106333862854656
J22209L02,222097WE,J22209L02TD04,島田駅行き,4,0,4819316230848512
J22209L02,222097WE,J22209L02TU04,伊久身（二俣）行き,4,1,5810021304631296
J22209L11,222097WD,J22209L11TN01,島田駅北口行き,1,0,4858703228436480
J22209L11,222097WD,J22209L11TN02,島田駅北口行き,3,0,4858703228436480
J22209L11,222097WD,J22209L11TS01,島田駅南口行き,2,1,5941120886374400
J22209L13,222097AD,J22209L13TD02,島田駅行き,2,0,6218558593826816
J22209L11,222097WD,J22209L11TN03,島田駅北口行き,5,0,4858703228436480
J22209L11,222097WD,J22209L11TS03,島田駅南口行き,6,1,5941120886374400
J22209L12,222097WD,J22209L12TD02,六合南循環,2,0,5743868070854656
J22209L12,222097WD,J22209L12TD03,六合南循環,3,0,5743868070854656
J22209L02,222097WD,J22209L02TU01,伊久身（二俣）行き,1,1,5810021304631296
J22209L06,222097AD,J22209L06TR02,金谷循環,5,0,6295644666855424
J22209L09,222097AD,J22209L09TL02,菊川神谷城循環,5,0,5973676738478080
J22209L07,222097AD,J22209L07TD05,金谷駅行き,13,0,6208428913459200
J22209L05,222097AD,J22209L05TD02,島田駅行き,2,0,5167242941562880
J22209L08,222097AD,J22209L08TD02,金谷駅行き,4,0,5378170932953088
J22209L13,222097AD,J22209L13TU02,本村行き,2,1,5111298845048832
J22209L13,222097AD,J22209L13TD07,島田駅行き,7,0,6218558593826816
J22209L02,222097AD,J22209L02TD11,島田駅行き,11,0,4819316230848512
J22209L02,222097AD,J22209L02TU09,伊久身（二俣）行き,9,1,5810021304631296
J22209L05,222097AD,J22209L05TU05,田代の郷温泉行き,5,1,4801054029905920
J22209L04,222097AD,J22209L04TU06,上相賀行き,12,1,4811183710273536
J22209L02,222097WD,J22209L02TU08,伊久身（二俣）行き,8,1,5810021304631296
J22209L012,222097WSD,J22209L012TU04,川根温泉行き,4,1,
J22209L012,222097WSD,J22209L012TD01,家山駅行き,1,0,
J22209L05,222097AD,J22209L05TD01,島田駅行き,1,0,5167242941562880
J22209L13,222097AD,J22209L13TD09,島田駅行き,9,0,6218558593826816
J22209L04,222097AD,J22209L04TD09,島田駅行き,17,0,5763418761986048
J22209L10,222097AD,J22209L10TD02,大津循環,2,0,5106333862854656
J22209L011,222097WSD,J22209L011TD01,家山駅行き,1,0,6035427630776320
J22209L05,222097AD,J22209L05TU01,田代の郷温泉行き,1,1,4801054029905920
J22209L05,222097AD,J22209L05TU08,田代の郷温泉行き,8,1,4801054029905920
J22209L05,222097AD,J22209L05TD03,島田駅行き,3,0,5167242941562880
J22209L03,222097WE,J22209L03TD10,島田駅行き,10,0,5740423507083264
J22209L02,222097AD,J22209L02TU06,伊久身（二俣）行き,6,1,5810021304631296
J22209L011,222097WSD,J22209L011TD03,家山駅行き,3,0,6035427630776320
J22209L06,222097AD,J22209L06TR04,金谷循環,11,0,6295644666855424
J22209L05,222097AD,J22209L05TD04,島田駅行き,4,0,5167242941562880
J22209L13,222097AD,J22209L13TU09,本村行き,9,1,5111298845048832
J22209L02,222097AD,J22209L02TD12,島田駅行き,12,0,4819316230848512
J22209L07,222097AD,J22209L07TD04,金谷駅行き,10,0,6208428913459200
J22209L05,222097AD,J22209L05TU04,田代の郷温泉行き,4,1,4801054029905920
J22209L13,222097AD,J22209L13TD08,島田駅行き,8,0,6218558593826816
J22209L04,222097AD,J22209L04TU02,上相賀行き,4,1,4811183710273536
J22209L04,222097AD,J22209L04TU09,上相賀行き,18,1,4811183710273536
J22209L10,222097AD,J22209L10TD07,大津循環,7,0,5106333862854656
J22209L02,222097WE,J22209L02TU02,伊久身（二俣）行き,2,1,5810021304631296
J22209L02,222097AD,J22209L02TU10,伊久身（二俣）行き,10,1,5810021304631296
J22209L12,222097WD,J22209L12TD04,六合南循環,4,0,5743868070854656
J22209L12,222097WD,J22209L12TD05,六合南循環,5,0,5743868070854656
J22209L07,222097AD,J22209L07TD01,金谷駅行き,1,0,6208428913459200
J22209L13,222097AD,J22209L13TU04,本村行き,4,1,5111298845048832
J22209L10,222097AD,J22209L10TD08,大津循環,8,0,5106333862854656
J22209L011,222097WSD,J22209L011TU06,日掛行き,6,1,4888269783302144
J22209L08,222097AD,J22209L08TD03,金谷駅行き,7,0,5378170932953088
J22209L13,222097AD,J22209L13TU01,本村行き,1,1,5111298845048832
J22209L13,222097AD,J22209L13TD05,島田駅行き,5,0,6218558593826816
