service_id,date,exception_type
222097WE,20170129,1
222097WE,20170130,2
222097WE,20170131,2
222097WE,20170201,2
222097WE,20170202,2
222097WE,20170203,2
222097WE,20170204,1
222097WE,20170205,1
222097WE,20170206,2
222097WE,20170207,2
222097WE,20170208,2
222097WE,20170209,2
222097WE,20170210,2
222097WE,20170211,1
222097WE,20170212,1
222097WE,20170213,2
222097WE,20170214,2
222097WE,20170215,2
222097WE,20170216,2
222097WE,20170217,2
222097WE,20170218,1
222097WE,20170219,1
222097WE,20170220,2
222097WE,20170221,2
222097WE,20170222,2
222097WE,20170223,2
222097WE,20170224,2
222097WE,20170225,1
222097WE,20170226,1
222097WE,20170227,2
222097WE,20170228,2
222097WE,20170301,2
222097WE,20170302,2
222097WE,20170303,2
222097WE,20170304,1
222097WE,20170305,1
222097WE,20170306,2
222097WE,20170307,2
222097WE,20170308,2
222097WE,20170309,2
222097WE,20170310,2
222097WE,20170311,1
222097WE,20170312,1
222097WE,20170313,2
222097WE,20170314,2
222097WE,20170315,2
222097WE,20170316,2
222097WE,20170317,2
222097WE,20170318,1
222097WE,20170319,1
222097WE,20170320,2
222097WE,20170321,2
222097WE,20170322,2
222097WE,20170323,2
222097WE,20170324,2
222097WE,20170325,1
222097WE,20170326,1
222097WE,20170327,2
222097WE,20170328,2
222097WE,20170329,2
222097WE,20170330,2
222097WE,20170331,2
222097WE,20170401,2
222097WE,20170402,2
222097WE,20170403,2
222097WE,20170404,2
222097WE,20170405,2
222097WE,20170406,2
222097WE,20170407,2
222097WE,20170408,2
222097WE,20170409,2
222097WE,20170410,2
222097WE,20170411,2
222097WE,20170412,2
222097WE,20170413,2
222097WE,20170414,2
222097WE,20170415,2
222097WE,20170416,2
222097WE,20170417,2
222097WE,20170418,2
222097WE,20170419,2
222097WE,20170420,2
222097WE,20170421,2
222097WE,20170422,2
222097WE,20170423,2
222097WE,20170424,2
222097WE,20170425,2
222097WE,20170426,2
222097WE,20170427,2
222097WE,20170428,2
222097WSD,20170129,2
222097WSD,20170130,1
222097WSD,20170131,1
222097WSD,20170201,1
222097WSD,20170202,1
222097WSD,20170203,1
222097WSD,20170204,1
222097WSD,20170205,2
222097WSD,20170206,1
222097WSD,20170207,1
222097WSD,20170208,1
222097WSD,20170209,1
222097WSD,20170210,1
222097WSD,20170211,1
222097WSD,20170212,2
222097WSD,20170213,1
222097WSD,20170214,1
222097WSD,20170215,1
222097WSD,20170216,1
222097WSD,20170217,1
222097WSD,20170218,1
222097WSD,20170219,2
222097WSD,20170220,1
222097WSD,20170221,1
222097WSD,20170222,1
222097WSD,20170223,1
222097WSD,20170224,1
222097WSD,20170225,1
222097WSD,20170226,2
222097WSD,20170227,1
222097WSD,20170228,1
222097WSD,20170301,1
222097WSD,20170302,1
222097WSD,20170303,1
222097WSD,20170304,1
222097WSD,20170305,2
222097WSD,20170306,1
222097WSD,20170307,1
222097WSD,20170308,1
222097WSD,20170309,1
222097WSD,20170310,1
222097WSD,20170311,1
222097WSD,20170312,2
222097WSD,20170313,1
222097WSD,20170314,1
222097WSD,20170315,1
222097WSD,20170316,1
222097WSD,20170317,1
222097WSD,20170318,1
222097WSD,20170319,2
222097WSD,20170320,1
222097WSD,20170321,1
222097WSD,20170322,1
222097WSD,20170323,1
222097WSD,20170324,1
222097WSD,20170325,1
222097WSD,20170326,2
222097WSD,20170327,1
222097WSD,20170328,1
222097WSD,20170329,1
222097WSD,20170330,1
222097WSD,20170331,1
222097WSD,20170401,2
222097WSD,20170402,2
222097WSD,20170403,2
222097WSD,20170404,2
222097WSD,20170405,2
